"","LAT_start","LON_start","DATETIME_start","sail_id","ship_type","SHIPNAME","LAT_end","LON_end","DATETIME_end"
"1",54.77127,18.99692,"2016-12-19T11:29:01Z",1,"Cargo","KAROLI",54.44431,18.65153,"2016-12-19T13:59:01Z"
"2",54.75262,18.99383,"2016-12-15T17:33:02Z",2,"Cargo","KERLI",54.38447,18.66098,"2016-12-15T20:11:02Z"
"3",54.38453,18.66085,"2016-12-15T20:45:02Z",3,"Cargo","KERLI",54.38452,18.66085,"2016-12-15T20:47:02Z"
"4",54.38433,18.66105,"2016-12-16T00:05:02Z",4,"Cargo","KERLI",54.38457,18.66088,"2016-12-16T00:07:02Z"
"5",54.38448,18.66083,"2016-12-16T01:41:02Z",5,"Cargo","KERLI",54.38452,18.66097,"2016-12-16T01:43:01Z"
"6",54.38448,18.66092,"2016-12-16T05:29:01Z",6,"Cargo","KERLI",54.38452,18.66088,"2016-12-16T05:31:02Z"
"7",54.38453,18.66088,"2016-12-16T08:01:02Z",7,"Cargo","KERLI",54.3845,18.6609,"2016-12-16T08:05:02Z"
"8",54.38442,18.66108,"2016-12-16T15:11:02Z",8,"Cargo","KERLI",54.3847,18.66085,"2016-12-16T15:13:01Z"
"9",54.38443,18.66093,"2016-12-16T15:53:02Z",9,"Cargo","KERLI",54.38447,18.66107,"2016-12-16T15:55:02Z"
"10",54.38445,18.66092,"2016-12-16T16:55:02Z",10,"Cargo","KERLI",54.38443,18.661,"2016-12-16T16:59:02Z"
"11",54.3845,18.66092,"2016-12-16T19:23:02Z",11,"Cargo","KERLI",54.38452,18.66092,"2016-12-16T19:25:02Z"
"12",54.38462,18.66102,"2016-12-16T21:09:02Z",12,"Cargo","KERLI",54.38453,18.66095,"2016-12-16T21:11:02Z"
"13",54.38458,18.66083,"2016-12-16T21:35:02Z",13,"Cargo","KERLI",54.3845,18.66088,"2016-12-16T21:37:02Z"
"14",54.38442,18.66097,"2016-12-16T21:43:02Z",14,"Cargo","KERLI",54.38448,18.6609,"2016-12-16T21:47:03Z"
"15",54.38465,18.661,"2016-12-16T22:29:02Z",15,"Cargo","KERLI",54.3846,18.661,"2016-12-16T22:31:02Z"
"16",54.38445,18.6609,"2016-12-17T03:15:02Z",16,"Cargo","KERLI",54.38452,18.66097,"2016-12-17T03:17:02Z"
"17",54.38437,18.66098,"2016-12-17T03:57:02Z",17,"Cargo","KERLI",54.38455,18.66093,"2016-12-17T03:59:02Z"
"18",54.38443,18.66082,"2016-12-17T05:03:02Z",18,"Cargo","KERLI",54.38452,18.66088,"2016-12-17T05:05:02Z"
"19",54.3845,18.66092,"2016-12-17T05:07:01Z",19,"Cargo","KERLI",NA,NA,NA
"20",54.40132,18.67925,"2016-12-15T17:33:02Z",20,"Cargo","MERI",54.40131,18.67925,"2016-12-15T17:35:02Z"
"21",54.40191,18.67926,"2016-12-16T12:17:02Z",21,"Cargo","MERI",NA,NA,NA
"22",54.44218,18.85229,"2016-12-16T09:03:01Z",22,"Tanker","BALTICO",54.42701,18.83004,"2016-12-16T10:05:02Z"
"23",54.42699,18.83029,"2016-12-16T10:27:01Z",23,"Tanker","BALTICO",54.40477,18.71844,"2016-12-16T11:15:02Z"
"24",54.40387,18.71943,"2016-12-19T02:15:02Z",24,"Tanker","BALTICO",NA,NA,NA
"25",54.40194,18.73137,"2016-12-18T22:39:02Z",25,"Tanker","SUULA",54.40553,18.71952,"2016-12-18T22:51:01Z"
"26",54.40556,18.71957,"2016-12-20T00:17:02Z",26,"Tanker","SUULA",NA,NA,NA
"27",54.71633,18.65941,"2016-12-20T08:23:02Z",27,"Tug","SAR 111261105",NA,NA,NA
"28",54.3749,18.66313,"2016-12-16T11:15:02Z",28,"Cargo","THURKUS",NA,NA,NA
"29",54.45405,18.83854,"2016-12-14T20:51:02Z",29,"Cargo","ARETHOUSA",54.45406,18.83835,"2016-12-14T20:55:02Z"
"30",54.45801,18.84253,"2016-12-16T12:49:02Z",30,"Cargo","ARETHOUSA",54.39236,18.71175,"2016-12-16T14:27:02Z"
"31",54.78199,18.99543,"2016-12-17T19:17:01Z",31,"Cargo","TOLLUND",NA,NA,NA
"32",54.50361,18.7412,"2016-12-14T10:09:01Z",32,"Cargo","SELENE PRAHM",54.36266,18.66617,"2016-12-14T12:07:02Z"
"33",54.36299,18.66611,"2016-12-15T03:07:01Z",33,"Cargo","SELENE PRAHM",NA,NA,NA
"34",54.38617,18.71615,"2016-12-14T22:47:02Z",34,"Cargo","PHOENIX II",54.38654,18.71716,"2016-12-19T07:31:02Z"
"35",54.3856,18.71613,"2016-12-19T09:37:01Z",35,"Cargo","PHOENIX II",54.38561,18.71613,"2016-12-19T09:39:02Z"
"36",54.38561,18.71613,"2016-12-19T11:55:02Z",36,"Cargo","PHOENIX II",54.38561,18.71612,"2016-12-19T11:57:02Z"
"37",54.38595,18.71592,"2016-12-19T17:23:02Z",37,"Cargo","PHOENIX II",NA,NA,NA
"38",54.3886,18.7207,"2016-12-14T00:23:02Z",38,"Cargo","VITIM",54.38861,18.7207,"2016-12-14T00:25:02Z"
"39",54.38867,18.72067,"2016-12-15T00:35:02Z",39,"Cargo","VITIM",54.38867,18.72067,"2016-12-15T00:37:02Z"
"40",54.38867,18.71967,"2016-12-15T03:43:02Z",40,"Cargo","VITIM",54.38655,18.71292,"2016-12-19T11:47:02Z"
"41",54.45068,18.87601,"2016-12-13T12:51:02Z",41,"Tanker","MURRAY STAR",54.45089,18.87621,"2016-12-13T12:55:02Z"
"42",54.44692,18.87558,"2016-12-14T10:33:02Z",42,"Tanker","MURRAY STAR",54.44699,18.87594,"2016-12-14T10:37:02Z"
"43",54.44687,18.87532,"2016-12-14T10:39:02Z",43,"Tanker","MURRAY STAR",54.44685,18.87528,"2016-12-14T10:43:02Z"
"44",54.44694,18.87563,"2016-12-14T11:13:01Z",44,"Tanker","MURRAY STAR",54.44685,18.87522,"2016-12-14T11:19:02Z"
"45",54.44681,18.87523,"2016-12-14T11:31:01Z",45,"Tanker","MURRAY STAR",54.44688,18.87532,"2016-12-14T11:33:02Z"
"46",54.44678,18.87495,"2016-12-14T11:47:02Z",46,"Tanker","MURRAY STAR",54.44677,18.8749,"2016-12-14T11:49:02Z"
"47",54.44674,18.8749,"2016-12-14T12:39:02Z",47,"Tanker","MURRAY STAR",54.44683,18.8751,"2016-12-14T12:49:02Z"
"48",54.44674,18.87494,"2016-12-14T13:13:02Z",48,"Tanker","MURRAY STAR",54.4468,18.87537,"2016-12-14T13:15:02Z"
